"id","real_date","year","quarter","month","month_name","week_in_month","day_in_month","day_name","week_name"
"1","2007-01-01","2007","Q1","1","Jan","1","1","Jan 1","Week 1"
"2","2007-01-02","2007","Q1","1","Jan","1","2","Jan 2","Week 1"
"3","2007-01-03","2007","Q1","1","Jan","1","3","Jan 3","Week 1"
"4","2007-01-04","2007","Q1","1","Jan","1","4","Jan 4","Week 1"
"5","2007-01-05","2007","Q1","1","Jan","1","5","Jan 5","Week 1"
"6","2007-01-06","2007","Q1","1","Jan","1","6","Jan 6","Week 1"
"7","2007-01-07","2007","Q1","1","Jan","2","7","Jan 7","Week 2"
"8","2007-01-08","2007","Q1","1","Jan","2","8","Jan 8","Week 2"
"9","2007-01-09","2007","Q1","1","Jan","2","9","Jan 9","Week 2"
"10","2007-01-10","2007","Q1","1","Jan","2","10","Jan 10","Week 2"
"11","2007-01-11","2007","Q1","1","Jan","2","11","Jan 11","Week 2"
"12","2007-01-12","2007","Q1","1","Jan","2","12","Jan 12","Week 2"
"13","2007-01-13","2007","Q1","1","Jan","2","13","Jan 13","Week 2"
"14","2007-01-14","2007","Q1","1","Jan","3","14","Jan 14","Week 3"
"15","2007-01-15","2007","Q1","1","Jan","3","15","Jan 15","Week 3"
"16","2007-01-16","2007","Q1","1","Jan","3","16","Jan 16","Week 3"
"17","2007-01-17","2007","Q1","1","Jan","3","17","Jan 17","Week 3"
"18","2007-01-18","2007","Q1","1","Jan","3","18","Jan 18","Week 3"
"19","2007-01-19","2007","Q1","1","Jan","3","19","Jan 19","Week 3"
"20","2007-01-20","2007","Q1","1","Jan","3","20","Jan 20","Week 3"
"21","2007-01-21","2007","Q1","1","Jan","4","21","Jan 21","Week 4"
"22","2007-01-22","2007","Q1","1","Jan","4","22","Jan 22","Week 4"
"23","2007-01-23","2007","Q1","1","Jan","4","23","Jan 23","Week 4"
"24","2007-01-24","2007","Q1","1","Jan","4","24","Jan 24","Week 4"
"25","2007-01-25","2007","Q1","1","Jan","4","25","Jan 25","Week 4"
"26","2007-01-26","2007","Q1","1","Jan","4","26","Jan 26","Week 4"
"27","2007-01-27","2007","Q1","1","Jan","4","27","Jan 27","Week 4"
"28","2007-01-28","2007","Q1","1","Jan","5","28","Jan 28","Week 5"
"29","2007-01-29","2007","Q1","1","Jan","5","29","Jan 29","Week 5"
"30","2007-01-30","2007","Q1","1","Jan","5","30","Jan 30","Week 5"
"31","2007-01-31","2007","Q1","1","Jan","5","31","Jan 31","Week 5"
"32","2007-02-01","2007","Q1","2","Feb","1","1","Feb 1","Week 1"
"33","2007-02-02","2007","Q1","2","Feb","1","2","Feb 2","Week 1"
"34","2007-02-03","2007","Q1","2","Feb","1","3","Feb 3","Week 1"
"35","2007-02-04","2007","Q1","2","Feb","2","4","Feb 4","Week 2"
"36","2007-02-05","2007","Q1","2","Feb","2","5","Feb 5","Week 2"
"37","2007-02-06","2007","Q1","2","Feb","2","6","Feb 6","Week 2"
"38","2007-02-07","2007","Q1","2","Feb","2","7","Feb 7","Week 2"
"39","2007-02-08","2007","Q1","2","Feb","2","8","Feb 8","Week 2"
"40","2007-02-09","2007","Q1","2","Feb","2","9","Feb 9","Week 2"
"41","2007-02-10","2007","Q1","2","Feb","2","10","Feb 10","Week 2"
"42","2007-02-11","2007","Q1","2","Feb","3","11","Feb 11","Week 3"
"43","2007-02-12","2007","Q1","2","Feb","3","12","Feb 12","Week 3"
"44","2007-02-13","2007","Q1","2","Feb","3","13","Feb 13","Week 3"
"45","2007-02-14","2007","Q1","2","Feb","3","14","Feb 14","Week 3"
"46","2007-02-15","2007","Q1","2","Feb","3","15","Feb 15","Week 3"
"47","2007-02-16","2007","Q1","2","Feb","3","16","Feb 16","Week 3"
"48","2007-02-17","2007","Q1","2","Feb","3","17","Feb 17","Week 3"
"49","2007-02-18","2007","Q1","2","Feb","4","18","Feb 18","Week 4"
"50","2007-02-19","2007","Q1","2","Feb","4","19","Feb 19","Week 4"
"51","2007-02-20","2007","Q1","2","Feb","4","20","Feb 20","Week 4"
"52","2007-02-21","2007","Q1","2","Feb","4","21","Feb 21","Week 4"
"53","2007-02-22","2007","Q1","2","Feb","4","22","Feb 22","Week 4"
"54","2007-02-23","2007","Q1","2","Feb","4","23","Feb 23","Week 4"
"55","2007-02-24","2007","Q1","2","Feb","4","24","Feb 24","Week 4"
"56","2007-02-25","2007","Q1","2","Feb","5","25","Feb 25","Week 5"
"57","2007-02-26","2007","Q1","2","Feb","5","26","Feb 26","Week 5"
"58","2007-02-27","2007","Q1","2","Feb","5","27","Feb 27","Week 5"
"59","2007-02-28","2007","Q1","2","Feb","5","28","Feb 28","Week 5"
"60","2007-03-01","2007","Q1","3","Mar","1","1","Mar 1","Week 1"
"61","2007-03-02","2007","Q1","3","Mar","1","2","Mar 2","Week 1"
"62","2007-03-03","2007","Q1","3","Mar","1","3","Mar 3","Week 1"
"63","2007-03-04","2007","Q1","3","Mar","2","4","Mar 4","Week 2"
"64","2007-03-05","2007","Q1","3","Mar","2","5","Mar 5","Week 2"
"65","2007-03-06","2007","Q1","3","Mar","2","6","Mar 6","Week 2"
"66","2007-03-07","2007","Q1","3","Mar","2","7","Mar 7","Week 2"
"67","2007-03-08","2007","Q1","3","Mar","2","8","Mar 8","Week 2"
"68","2007-03-09","2007","Q1","3","Mar","2","9","Mar 9","Week 2"
"69","2007-03-10","2007","Q1","3","Mar","2","10","Mar 10","Week 2"
"70","2007-03-11","2007","Q1","3","Mar","3","11","Mar 11","Week 3"
"71","2007-03-12","2007","Q1","3","Mar","3","12","Mar 12","Week 3"
"72","2007-03-13","2007","Q1","3","Mar","3","13","Mar 13","Week 3"
"73","2007-03-14","2007","Q1","3","Mar","3","14","Mar 14","Week 3"
"74","2007-03-15","2007","Q1","3","Mar","3","15","Mar 15","Week 3"
"75","2007-03-16","2007","Q1","3","Mar","3","16","Mar 16","Week 3"
"76","2007-03-17","2007","Q1","3","Mar","3","17","Mar 17","Week 3"
"77","2007-03-18","2007","Q1","3","Mar","4","18","Mar 18","Week 4"
"78","2007-03-19","2007","Q1","3","Mar","4","19","Mar 19","Week 4"
"79","2007-03-20","2007","Q1","3","Mar","4","20","Mar 20","Week 4"
"80","2007-03-21","2007","Q1","3","Mar","4","21","Mar 21","Week 4"
"81","2007-03-22","2007","Q1","3","Mar","4","22","Mar 22","Week 4"
"82","2007-03-23","2007","Q1","3","Mar","4","23","Mar 23","Week 4"
"83","2007-03-24","2007","Q1","3","Mar","4","24","Mar 24","Week 4"
"84","2007-03-25","2007","Q1","3","Mar","5","25","Mar 25","Week 5"
"85","2007-03-26","2007","Q1","3","Mar","5","26","Mar 26","Week 5"
"86","2007-03-27","2007","Q1","3","Mar","5","27","Mar 27","Week 5"
"87","2007-03-28","2007","Q1","3","Mar","5","28","Mar 28","Week 5"
"88","2007-03-29","2007","Q1","3","Mar","5","29","Mar 29","Week 5"
"89","2007-03-30","2007","Q1","3","Mar","5","30","Mar 30","Week 5"
"90","2007-03-31","2007","Q1","3","Mar","5","31","Mar 31","Week 5"
"91","2007-04-01","2007","Q2","4","Apr","1","1","Apr 1","Week 1"
"92","2007-04-02","2007","Q2","4","Apr","1","2","Apr 2","Week 1"
"93","2007-04-03","2007","Q2","4","Apr","1","3","Apr 3","Week 1"
"94","2007-04-04","2007","Q2","4","Apr","1","4","Apr 4","Week 1"
"95","2007-04-05","2007","Q2","4","Apr","1","5","Apr 5","Week 1"
"96","2007-04-06","2007","Q2","4","Apr","1","6","Apr 6","Week 1"
"97","2007-04-07","2007","Q2","4","Apr","1","7","Apr 7","Week 1"
"98","2007-04-08","2007","Q2","4","Apr","2","8","Apr 8","Week 2"
"99","2007-04-09","2007","Q2","4","Apr","2","9","Apr 9","Week 2"
"100","2007-04-10","2007","Q2","4","Apr","2","10","Apr 10","Week 2"
"101","2007-04-11","2007","Q2","4","Apr","2","11","Apr 11","Week 2"
"102","2007-04-12","2007","Q2","4","Apr","2","12","Apr 12","Week 2"
"103","2007-04-13","2007","Q2","4","Apr","2","13","Apr 13","Week 2"
"104","2007-04-14","2007","Q2","4","Apr","2","14","Apr 14","Week 2"
