"id","name","value","valueType","schd_task_id","pre_task_id","cmpl_task_id"
"105","Singulair 5 mg","","string","407","NULL","NULL"
"106","Singulair 5 mg","","string","NULL","NULL","407"
"107","Tet Toxoid","","string","417","NULL","NULL"
"108","Tet Toxoid","","string","NULL","NULL","417"
"109","100 mL","100","long","NULL","NULL","419"
"110","CBC w Differential 85025","","string","421","NULL","NULL"
"111","CBC w Differential 85025","","string","NULL","NULL","421"
"112","Tet Toxoid","","string","423","NULL","NULL"
"113","Tet Toxoid","","string","NULL","NULL","423"
"114","Tet Toxoid","","string","430","NULL","NULL"
"115","Tet Toxoid","","string","NULL","NULL","430"
"116","Tet Toxoid","","string","NULL","NULL","430"
"117","Packed RBC","","string","433","NULL","NULL"
"118","Hepatitis B","","string","435","NULL","NULL"
"119","Automated Blood Count 85027","","string","436","NULL","NULL"
"120","CBC w Differential 85025","","string","436","NULL","NULL"
"121","Orthopaedic","","string","438","NULL","NULL"
"122","Hepatitis B","","string","NULL","NULL","435"
"123","Packed RBC","","string","NULL","NULL","433"
"124","Automated Blood Count 85027","","string","NULL","NULL","436"
"125","CBC w Differential 85025","","string","NULL","NULL","436"
"126","Automated Blood Count 85027","","string","NULL","NULL","436"
"127","CBC w Differential 85025","","string","NULL","NULL","436"
"128","Automated Blood Count 85027","","string","NULL","NULL","436"
"129","CBC w Differential 85025","","string","NULL","NULL","436"
"130","Orthopaedic","","string","NULL","NULL","438"
"131","Orthopaedic","","string","439","NULL","NULL"
"132","Orthopaedic","","string","NULL","NULL","439"
"133","Duragesic Patch 50 mg","","string","445","NULL","NULL"
"134","Tet Toxoid","","string","450","NULL","NULL"
"135","Tet Toxoid","","string","NULL","NULL","450"
"136","Packed RBC","","string","456","NULL","NULL"
"137","Packed RBC","","string","NULL","NULL","456"
"138","Hepatitis B","","string","458","NULL","NULL"
"139","Packed Cells","","string","459","NULL","NULL"
"140","Hepatitis B","","string","NULL","NULL","458"
"141","Packed Cells","","string","NULL","NULL","459"
"142","Packed Cells","","string","466","NULL","NULL"
"143","Tet Toxoid","","string","472","NULL","NULL"
"144","Tet Toxoid","","string","NULL","NULL","472"
"145","Packed RBC","","string","474","NULL","NULL"
"146","Packed RBC","","string","NULL","NULL","474"
"147","Orthopaedic","","string","476","NULL","NULL"
"148","Orthopaedic","","string","NULL","NULL","476"
"149","Packed RBC","","string","485","NULL","NULL"
"150","Packed Cells","","string","491","NULL","NULL"
"151","Amoxacillin 550 mg","","string","494","NULL","NULL"
"152","Packed Cells","","string","NULL","NULL","491"
"153","Amoxacillin 550 mg","","string","NULL","NULL","494"
"154","Automated Blood Count 85027","","string","496","NULL","NULL"
"155","Chem Panel 8 80048","","string","496","NULL","NULL"
"156","Automated Blood Count 85027","","string","NULL","NULL","496"
"157","Chem Panel 8 80048","","string","NULL","NULL","496"
"158","Packed RBC","","string","497","NULL","NULL"
"159","Q 5 min x 4, Then q15 min","","string","498","NULL","NULL"
"160","Packed RBC","","string","NULL","NULL","497"
"161","Packed RBC","","string","501","NULL","NULL"
"162","Packed RBC","","string","NULL","NULL","501"
"163","Q 5 min x 4, Then q15 min","","string","502","NULL","NULL"
"164","Tet Toxoid","","string","503","NULL","NULL"
"165","Tet Toxoid","","string","NULL","NULL","503"
"166","Tet Toxoid","","string","NULL","NULL","503"
"167","Tet Toxoid","","string","NULL","NULL","503"
"168","Tet Toxoid","","string","NULL","NULL","503"
"169","DPT","","string","NULL","NULL","509"
"170","Hepatitis B","","string","511","NULL","NULL"
"171","Tet Toxoid","","string","511","NULL","NULL"
"172","Hepatitis B","","string","NULL","NULL","511"
"173","Tet Toxoid","","string","NULL","NULL","511"
"174","Packed RBC","","string","512","NULL","NULL"
"175","Automated Blood Count 85027","","string","514","NULL","NULL"
"176","Packed RBC","","string","NULL","NULL","512"
"177","Automated Blood Count 85027","","string","NULL","NULL","514"
"178","DPT","","string","517","NULL","NULL"
"179","DPT","","string","526","NULL","NULL"
"180","DPT","","string","NULL","NULL","526"
"181","DPT","","string","528","NULL","NULL"
"182","DPT","","string","NULL","NULL","528"
"183","O Negative","","string","529","NULL","NULL"
"184","Packed Cells","","string","530","NULL","NULL"
"185","O Negative","","string","531","NULL","NULL"
"186","Chest AP & Lat  710200","","string","533","NULL","NULL"
"187","Chest AP & Lat  710200","","string","NULL","NULL","533"
"188","Chest AP & Lat  710200","","string","NULL","NULL","533"
"189","Packed Cells","","string","536","NULL","NULL"
"190","DPT","","string","544","NULL","NULL"
"191","DPT","","string","NULL","NULL","544"
"192","Hepatitis B","","string","NULL","NULL","544"
"193","DPT","","string","547","NULL","NULL"
"194","DPT","","string","NULL","NULL","547"
"195","Hepatitis B","","string","NULL","NULL","547"
"196","Automated Blood Count 85027","","string","550","NULL","NULL"
"197","Type Specific Whole Blood","","string","551","NULL","NULL"
"198","Automated Blood Count 85027","","string","554","NULL","NULL"
"199","CBC w Differential 85025","","string","554","NULL","NULL"
"200","Packed RBC","","string","555","NULL","NULL"
"201","Tet Toxoid","","string","556","NULL","NULL"
"202","Automated Blood Count 85027","","string","NULL","NULL","554"
"203","CBC w Differential 85025","","string","NULL","NULL","554"
"204","Tet Toxoid","","string","NULL","NULL","556"
"205","Hepatitis B","","string","558","NULL","NULL"
"206","Hepatitis B","","string","NULL","NULL","558"
"207","Duragesic Patch 50 mg","","string","561","NULL","NULL"
"208","Automated Blood Count 85027","","string","562","NULL","NULL"
"209","CBC w Differential 85025","","string","562","NULL","NULL"
"210","Tet Toxoid","","string","563","NULL","NULL"
"211","Automated Blood Count 85027","","string","NULL","NULL","562"
"212","CBC w Differential 85025","","string","NULL","NULL","562"
"213","Automated Blood Count 85027","","string","NULL","NULL","562"
"214","CBC w Differential 85025","","string","NULL","NULL","562"
"215","Orthopaedic","","string","571","NULL","NULL"
"216","Tet Toxoid","","string","578","NULL","NULL"
"217","Orthopaedic","","string","NULL","NULL","571"
"218","Tet Toxoid","","string","NULL","NULL","578"
"219","Tet Toxoid","","string","NULL","NULL","578"
"220","DPT","","string","590","NULL","NULL"
"221","DPT","","string","NULL","NULL","590"
"222","Hepatitis B","","string","NULL","NULL","590"
"223","Hepatitis B","","string","592","NULL","NULL"
"224","Hepatitis B","","string","NULL","NULL","592"
"225","Tet Toxoid","","string","NULL","NULL","592"
"226","Dilantin Susp: 125mg/5ml, Cap: 30, 100mg","","string","676","NULL","NULL"
"227","Dilantin Susp: 125mg/5ml, Cap: 30, 100mg","","string","NULL","NULL","676"
"228","Amoxacillin 550 mg","","string","NULL","NULL","680"
"229","Cordon Lotion 0.05%","","string","681","NULL","NULL"
"230","Cordon Lotion 0.05%","","string","NULL","NULL","681"
"231","Cordon Lotion 0.05%","","string","NULL","NULL","681"
